name,type,summary,state,updated,lat,lng,size,url,id,contained
Leland Complex,Wildfire,"The Leland Complex is composed of four wildfires: The Sand Mountain,...",IDAHO,2021-07-27 13:22:27,46.746,-116.628,"3,350 Acres",/incident/7644/,7644,67
Dixie Fire (CA),Wildfire," Yesterday, a thick covering of smoke over the area shaded the fire....",CALIFORNIA,2021-07-27 13:21:23,39.819,-121.419,"208,206 Acres",/incident/7690/,7690,23
Goat Fire,Wildfire,Fire activity increased Monday on the Goat Fire as it spotted to...,MONTANA,2021-07-27 13:08:45,46.369,-113.068,97 Acres,/incident/7694/,7694,0
Character Complex,Wildfire,"The Type 2 Northern Rockies Incident Management Team 3, Mike Almas,...",IDAHO,2021-07-27 13:06:49,47.645,-116.019,"5,174 Acres",/incident/7654/,7654,30
Summit Trail,Wildfire,The Summit Trail Fire was started by lightning on July 12 and is...,WASHINGTON,2021-07-27 13:05:04,48.285,-118.531,"13,767 Acres",/incident/7677/,7677,6
Park Fire,Wildfire,"The Park Fire was discovered Monday, July 26 at approximately 2 pm,...",CALIFORNIA,2021-07-27 12:58:30,36.2,-118.722,250 Acres,/incident/7726/,7726,5
Tamarack Fire,Wildfire,The Tamarack Fire started as a lightning strike in the Mokelumne...,NEVADA,2021-07-27 12:58:02,38.628,-119.857,"68,103 Acres",/incident/7674/,7674,54
Woods Creek Fire,Wildfire,"The Woods Creek Fire was discovered on Saturday, July 10 near Boulder...",MONTANA,2021-07-27 12:53:23,46.553,-111.356,"3,700 Acres",/incident/7649/,7649,0
Jack Fire,Wildfire,"The Jack Fire was reported at approximately 5:00 pm on July 5,...",OREGON,2021-07-27 12:42:56,43.322,-122.686,"22,609 Acres",/incident/7605/,7605,59
Cedar Creek,Wildfire,"Multiple fires were started by lightning on July 8, 2021 in the...",WASHINGTON,2021-07-27 12:40:31,48.595,-120.537,"33,462 Acres",/incident/7655/,7655,13
Green Ridge Fire,Wildfire,The Turkey Tail and Green Ridge fires began from lightning strikes...,OREGON,2021-07-27 12:33:27,46.134,-117.719,"6,799 Acres",/incident/7628/,7628,15
