Year,Alaska,Northwest,Northern California,Southern California,Northern Rockies,Great Basin*,Western Great Basin*,Southwest,Rocky Mountains,Eastern Area,Southern Area,Total,Total Acres Affected
2020,168,746,430,124,625,804,N/A,746,789,171,784,"5,387","4,123,523"
2019,371,"1,430",420,76,686,921,N/A,786,736,38,898,"6,362","3,447,038"
2018,138,977,174,131,604,"1,145",N/A,"1,216","1,086",69,967,"6,507","3,127,003"
2017,155,"1,254",728,188,"1,254","1,139",N/A,922,"1,014",59,"1,240","7,953","5,195,610"
2016,229,437,97,96,916,812,N/A,"1,413","1,247",107,"1,436","6,790","1,743,385"
2015,417,"1,705",785,397,"1,571","1,111",N/A,986,650,86,"1,527","9,235","8,112,688"
2014,55,"2,417",477,259,"1,019",937,284,840,689,34,922,"7,933","2,012,843"
2013,212,"2,282",596,274,"1,305","1,441",542,"1,238","1,166",54,120,"9,230","3,057,566"
2012,141,856,180,266,"1,328","1,259",577,"1,224","1,992",205,"1,415","9,443","6,825,989"
2011,138,808,301,258,944,"1,168",432,"1,678","1,328",161,"3,033","10,249","3,354,596"
2010,330,"1,110",441,216,633,"1,036",273,947,941,169,"1,068","7,164","2,119,275"
2009,199,"1,843",890,179,"1,212","1,086",478,"1,546","1,090",62,557,"9,142","3,849,040"
2008,75,"1,624","1,400",174,679,835,224,"1,027",941,171,"1,706","8,856","1,862,477"
2007,201,"1,486",574,291,"1,363","1,434",463,"1,869","1,672",330,"2,578","12,261","5,878,691"
2006,54,"2,170",948,409,"1,970","2,259",943,"3,220","2,479",256,"1,457","16,165","5,468,901"
2005,311,901,186,272,748,"1,345",536,"1,935","1,398",175,516,"8,323","7,168,062"
2004,270,"2,042",670,323,"1,090","1,760",781,"2,062","1,340",88,958,"11,384","7,011,023"
2003,72,"1,605",966,428,"1,921","2,004",569,"2,702","1,918",102,489,"12,776","2,038,443"
2002,165,"1,797",301,179,"1,130","1,602",556,"2,469","2,039",372,825,"11,435","4,097,593"
2001,29,159,"2,238",832,"1,041","2,405","1,697","2,298","2,114",889,392,"14,094","1,822,600"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
